win_lose,y_col,y_row,r_col,r_row,y_def,y_n,y_atk,r_def,r_n,r_atk,turn,g_type
Lose,3.79,2.64,3.36,3.21,42.857142857142854%,50.0%,7.142857142857142%,28.57142857142857%,57.14285714285714%,14.285714285714285%,28,Sim
Win,4.11,3.56,4.29,3,33.33333333333333%,61.111111111111114%,5.555555555555555%,23.52941176470588%,76.47058823529412%,0.0%,35,Sim
Lose,4.25,2.56,4,3.5,31.25%,68.75%,0.0%,37.5%,56.25%,6.25%,32,Sim
Lose,4.18,2.36,3.82,2.82,63.63636363636363%,27.27272727272727%,9.090909090909092%,27.27272727272727%,27.27272727272727%,45.45454545454545%,22,Sim
Win,3.87,3.4,3.93,2.79,13.333333333333334%,66.66666666666666%,20.0%,42.857142857142854%,57.14285714285714%,0.0%,29,Sim
Win,3.62,2.31,3.5,2.75,15.384615384615385%,69.23076923076923%,15.384615384615385%,25.0%,66.66666666666666%,8.333333333333332%,25,Sim
Win,4.06,3.39,4,3.12,38.88888888888889%,61.111111111111114%,0.0%,47.05882352941176%,47.05882352941176%,5.88235294117647%,35,Sim
Win,2.71,1.57,4.67,1.5,0.0%,85.71428571428571%,14.285714285714285%,33.33333333333333%,66.66666666666666%,0.0%,13,Sim
Lose,4.09,2.36,3.36,2.91,45.45454545454545%,54.54545454545454%,0.0%,27.27272727272727%,45.45454545454545%,27.27272727272727%,22,Sim
Lose,5.2,1.4,4.2,1.4,20.0%,80.0%,0.0%,20.0%,60.0%,20.0%,10,Sim
Win,5.18,2.55,3.8,3,9.090909090909092%,81.81818181818183%,9.090909090909092%,20.0%,80.0%,0.0%,21,Sim
Lose,3.45,2.55,3.82,3.09,9.090909090909092%,72.72727272727273%,18.181818181818183%,27.27272727272727%,63.63636363636363%,9.090909090909092%,22,Sim
Win,4.28,2.94,4.35,3.59,16.666666666666664%,72.22222222222221%,11.11111111111111%,35.294117647058826%,64.70588235294117%,0.0%,35,Sim
Win,4.92,2.42,4.45,2.82,8.333333333333332%,75.0%,16.666666666666664%,36.36363636363637%,63.63636363636363%,0.0%,23,Sim
Win,4.09,2.36,4.7,2.6,9.090909090909092%,72.72727272727273%,18.181818181818183%,50.0%,50.0%,0.0%,21,Sim
Win,3.53,2.8,3.93,2.71,26.666666666666668%,60.0%,13.333333333333334%,42.857142857142854%,50.0%,7.142857142857142%,29,Sim
Lose,3.69,3,3.81,2.88,43.75%,43.75%,12.5%,31.25%,56.25%,12.5%,32,Sim
Lose,4.42,2.42,4.33,2.92,25.0%,75.0%,0.0%,33.33333333333333%,50.0%,16.666666666666664%,24,Sim
Win,4.31,3.25,4.2,3.07,43.75%,50.0%,6.25%,40.0%,46.666666666666664%,13.333333333333334%,31,Sim
Lose,4.27,2.18,4.91,2.64,18.181818181818183%,72.72727272727273%,9.090909090909092%,18.181818181818183%,72.72727272727273%,9.090909090909092%,22,Sim
Lose,4,3.08,4.38,3,23.076923076923077%,76.92307692307693%,0.0%,23.076923076923077%,61.53846153846154%,15.384615384615385%,26,Sim
Lose,2.56,2.78,2.56,3,11.11111111111111%,77.77777777777779%,11.11111111111111%,22.22222222222222%,55.55555555555556%,22.22222222222222%,18,Sim
Lose,2.62,2.92,2.92,3.38,30.76923076923077%,69.23076923076923%,0.0%,38.46153846153847%,38.46153846153847%,23.076923076923077%,26,Sim
Win,3.93,2.57,4,2.85,35.714285714285715%,57.14285714285714%,7.142857142857142%,38.46153846153847%,61.53846153846154%,0.0%,27,Sim
Win,4.21,2.5,3.62,2.77,35.714285714285715%,57.14285714285714%,7.142857142857142%,30.76923076923077%,61.53846153846154%,7.6923076923076925%,27,Sim
Lose,4.75,2.83,4.75,2.83,50.0%,50.0%,0.0%,8.333333333333332%,66.66666666666666%,25.0%,24,Sim
Lose,3.3,2.4,3.3,2.4,10.0%,80.0%,10.0%,30.0%,60.0%,10.0%,20,Sim
Lose,4.19,2.62,3.5,3.12,37.5%,62.5%,0.0%,37.5%,56.25%,6.25%,32,Sim
Lose,3.93,2.73,3.87,3.13,26.666666666666668%,73.33333333333333%,0.0%,33.33333333333333%,53.333333333333336%,13.333333333333334%,30,Sim
Lose,3.25,1.25,5.5,1,0.0%,100.0%,0.0%,25.0%,50.0%,25.0%,8,Sim
Win,3,1.5,4.4,1.4,0.0%,83.33333333333334%,16.666666666666664%,20.0%,80.0%,0.0%,11,Sim
Lose,5.33,2.44,4.78,2.78,44.44444444444444%,55.55555555555556%,0.0%,33.33333333333333%,55.55555555555556%,11.11111111111111%,18,Sim
Win,5,2.25,4.43,2.14,25.0%,50.0%,25.0%,28.57142857142857%,71.42857142857143%,0.0%,15,Sim
Win,3.6,2.67,3.71,3.21,20.0%,73.33333333333333%,6.666666666666667%,42.857142857142854%,57.14285714285714%,0.0%,29,Sim
Lose,3.77,2.62,3.54,2.77,46.15384615384615%,53.84615384615385%,0.0%,15.384615384615385%,46.15384615384615%,38.46153846153847%,26,Sim
Win,4.27,2.6,4.29,2.79,20.0%,66.66666666666666%,13.333333333333334%,42.857142857142854%,50.0%,7.142857142857142%,29,Sim
Win,3.5,2.42,3.91,2.64,25.0%,66.66666666666666%,8.333333333333332%,36.36363636363637%,63.63636363636363%,0.0%,23,Sim
Win,4.42,2.75,4.18,2.18,33.33333333333333%,58.333333333333336%,8.333333333333332%,27.27272727272727%,72.72727272727273%,0.0%,23,Sim
Lose,4.31,2.69,4.62,2.46,38.46153846153847%,46.15384615384615%,15.384615384615385%,30.76923076923077%,61.53846153846154%,7.6923076923076925%,26,Sim
Win,4.27,2.8,4.64,2.79,26.666666666666668%,66.66666666666666%,6.666666666666667%,42.857142857142854%,57.14285714285714%,0.0%,29,Sim
Lose,3.88,2.25,3.62,2.12,37.5%,62.5%,0.0%,0.0%,62.5%,37.5%,16,Sim
Win,3.75,2.12,4.57,2,50.0%,37.5%,12.5%,14.285714285714285%,71.42857142857143%,14.285714285714285%,15,Sim
Lose,3.38,2.69,3.69,3.08,38.46153846153847%,61.53846153846154%,0.0%,23.076923076923077%,61.53846153846154%,15.384615384615385%,26,Sim
Win,3.67,3.11,4.12,3.53,27.77777777777778%,66.66666666666666%,5.555555555555555%,23.52941176470588%,70.58823529411765%,5.88235294117647%,35,Sim
Lose,3.82,3.24,4.06,2.76,23.52941176470588%,76.47058823529412%,0.0%,17.647058823529413%,76.47058823529412%,5.88235294117647%,34,Sim
Lose,3.78,2.11,3.67,2.22,22.22222222222222%,66.66666666666666%,11.11111111111111%,77.77777777777779%,22.22222222222222%,0.0%,18,Sim
Win,4.07,2.79,4,2.85,7.142857142857142%,78.57142857142857%,14.285714285714285%,30.76923076923077%,69.23076923076923%,0.0%,27,Sim
Win,3.44,2,2.75,2.25,0.0%,66.66666666666666%,33.33333333333333%,37.5%,62.5%,0.0%,17,Sim
Win,4.31,2.54,4.33,2.75,15.384615384615385%,61.53846153846154%,23.076923076923077%,33.33333333333333%,58.333333333333336%,8.333333333333332%,25,Sim
Lose,3.83,2.33,3.42,2.75,33.33333333333333%,50.0%,16.666666666666664%,66.66666666666666%,25.0%,8.333333333333332%,24,Sim
Lose,4.27,3.2,3.93,3.2,40.0%,46.666666666666664%,13.333333333333334%,46.666666666666664%,46.666666666666664%,6.666666666666667%,30,Sim
Lose,4.31,2.31,4.08,2.69,30.76923076923077%,69.23076923076923%,0.0%,46.15384615384615%,46.15384615384615%,7.6923076923076925%,26,Sim
Win,4.5,1,4.67,1.33,0.0%,75.0%,25.0%,33.33333333333333%,66.66666666666666%,0.0%,7,Sim
Win,4.05,3.37,3.78,3,31.57894736842105%,57.89473684210527%,10.526315789473683%,38.88888888888889%,55.55555555555556%,5.555555555555555%,37,Sim
Win,3.67,2.87,4.07,2.64,13.333333333333334%,80.0%,6.666666666666667%,35.714285714285715%,64.28571428571429%,0.0%,29,Sim
Win,3.62,3.08,3.83,2.42,23.076923076923077%,69.23076923076923%,7.6923076923076925%,16.666666666666664%,83.33333333333334%,0.0%,25,Sim
Win,3.79,3,4,2.85,50.0%,35.714285714285715%,14.285714285714285%,38.46153846153847%,61.53846153846154%,0.0%,27,Sim
Win,4.08,2.58,3.64,2.36,16.666666666666664%,75.0%,8.333333333333332%,18.181818181818183%,81.81818181818183%,0.0%,23,Sim
Draw,4.33,3.43,3.67,3.57,42.857142857142854%,47.61904761904761%,9.523809523809524%,42.857142857142854%,47.61904761904761%,9.523809523809524%,42,Sim
Lose,3.81,3,3.88,3.06,31.25%,62.5%,6.25%,18.75%,75.0%,6.25%,32,Sim
Lose,3.43,2.93,2.79,3,35.714285714285715%,57.14285714285714%,7.142857142857142%,28.57142857142857%,57.14285714285714%,14.285714285714285%,28,Sim
Lose,3.55,2.27,3.64,2.73,18.181818181818183%,81.81818181818183%,0.0%,27.27272727272727%,54.54545454545454%,18.181818181818183%,22,Sim
Lose,3.64,2.57,4.29,2.71,14.285714285714285%,85.71428571428571%,0.0%,28.57142857142857%,57.14285714285714%,14.285714285714285%,28,Sim
Win,3.57,2.36,4.08,3,28.57142857142857%,64.28571428571429%,7.142857142857142%,23.076923076923077%,69.23076923076923%,7.6923076923076925%,27,Sim
Lose,4.64,2.5,4.43,3.14,14.285714285714285%,85.71428571428571%,0.0%,21.428571428571427%,64.28571428571429%,14.285714285714285%,28,Sim
Lose,3.62,1.75,3.88,2.38,0.0%,87.5%,12.5%,25.0%,62.5%,12.5%,16,Sim
Win,3.09,2.45,3.6,2.7,18.181818181818183%,54.54545454545454%,27.27272727272727%,50.0%,50.0%,0.0%,21,Sim
Win,4,2.92,4,2.27,33.33333333333333%,50.0%,16.666666666666664%,45.45454545454545%,54.54545454545454%,0.0%,23,Sim
Lose,3.53,3.42,4.05,3.16,31.57894736842105%,63.1578947368421%,5.263157894736842%,26.31578947368421%,63.1578947368421%,10.526315789473683%,38,Sim
Lose,4.07,2.93,3.4,2.93,26.666666666666668%,73.33333333333333%,0.0%,20.0%,73.33333333333333%,6.666666666666667%,30,Sim
Win,3.82,2.45,4.1,2.6,18.181818181818183%,72.72727272727273%,9.090909090909092%,40.0%,60.0%,0.0%,21,Sim
Draw,4.19,3.62,3.81,3.38,38.095238095238095%,52.38095238095239%,9.523809523809524%,28.57142857142857%,66.66666666666666%,4.761904761904762%,42,Sim
Lose,5,2,4.62,2.5,12.5%,75.0%,12.5%,37.5%,50.0%,12.5%,16,Sim
Win,2.5,1.88,4.14,2,0.0%,87.5%,12.5%,28.57142857142857%,71.42857142857143%,0.0%,15,Sim
Win,3.47,2.87,4.21,2.93,6.666666666666667%,80.0%,13.333333333333334%,7.142857142857142%,92.85714285714286%,0.0%,29,Sim
Lose,3.29,2.5,3.5,3.21,71.42857142857143%,28.57142857142857%,0.0%,35.714285714285715%,35.714285714285715%,28.57142857142857%,28,Sim
Lose,4.07,2.86,3.79,3.14,42.857142857142854%,57.14285714285714%,0.0%,21.428571428571427%,64.28571428571429%,14.285714285714285%,28,Sim
Win,3.55,2.45,3.1,2.9,27.27272727272727%,54.54545454545454%,18.181818181818183%,50.0%,50.0%,0.0%,21,Sim
Lose,4.21,3.42,3.89,3.11,42.10526315789473%,57.89473684210527%,0.0%,42.10526315789473%,52.63157894736842%,5.263157894736842%,38,Sim
Lose,5.07,2.64,3.86,2.79,42.857142857142854%,57.14285714285714%,0.0%,35.714285714285715%,42.857142857142854%,21.428571428571427%,28,Sim
Lose,5,2,4.5,2,0.0%,83.33333333333334%,16.666666666666664%,66.66666666666666%,16.666666666666664%,16.666666666666664%,12,Sim
Win,3.07,2.86,3.23,2.92,14.285714285714285%,64.28571428571429%,21.428571428571427%,7.6923076923076925%,76.92307692307693%,15.384615384615385%,27,Sim
Lose,4.29,2.57,3.43,2.86,21.428571428571427%,57.14285714285714%,21.428571428571427%,42.857142857142854%,50.0%,7.142857142857142%,28,Sim
Lose,4.08,2.25,3.33,3,25.0%,75.0%,0.0%,16.666666666666664%,75.0%,8.333333333333332%,24,Sim
Lose,3.8,3.6,4.2,3.2,30.0%,60.0%,10.0%,25.0%,65.0%,10.0%,40,Sim
Win,3.6,2.8,3.86,2.93,33.33333333333333%,53.333333333333336%,13.333333333333334%,28.57142857142857%,71.42857142857143%,0.0%,29,Sim
Lose,4.25,2.42,4.67,2.5,25.0%,66.66666666666666%,8.333333333333332%,41.66666666666667%,50.0%,8.333333333333332%,24,Sim
Lose,4,2.8,3.53,3,20.0%,73.33333333333333%,6.666666666666667%,26.666666666666668%,66.66666666666666%,6.666666666666667%,30,Sim
Win,4.44,2.56,3.62,2.38,11.11111111111111%,66.66666666666666%,22.22222222222222%,37.5%,62.5%,0.0%,17,Sim
Lose,4.25,1.25,3.5,1,25.0%,75.0%,0.0%,0.0%,75.0%,25.0%,8,Sim
Lose,4.37,3.26,3.63,3.32,47.368421052631575%,47.368421052631575%,5.263157894736842%,42.10526315789473%,52.63157894736842%,5.263157894736842%,38,Sim
Lose,4.06,3,4.44,3,43.75%,56.25%,0.0%,43.75%,50.0%,6.25%,32,Sim
Win,4.92,2.42,4.09,2.45,16.666666666666664%,75.0%,8.333333333333332%,36.36363636363637%,54.54545454545454%,9.090909090909092%,23,Sim
Win,4.08,2.67,4.55,2.36,25.0%,66.66666666666666%,8.333333333333332%,18.181818181818183%,72.72727272727273%,9.090909090909092%,23,Sim
Win,4.2,2.8,3.71,2.57,40.0%,46.666666666666664%,13.333333333333334%,42.857142857142854%,50.0%,7.142857142857142%,29,Sim
Win,3.64,2.5,3.46,3.08,21.428571428571427%,64.28571428571429%,14.285714285714285%,38.46153846153847%,61.53846153846154%,0.0%,27,Sim
Lose,3.7,2,3.6,2.3,40.0%,60.0%,0.0%,30.0%,50.0%,20.0%,20,Sim
Lose,3.91,3.36,4.27,2.55,18.181818181818183%,81.81818181818183%,0.0%,18.181818181818183%,72.72727272727273%,9.090909090909092%,22,Sim
Win,4.25,2.25,4,2.55,25.0%,66.66666666666666%,8.333333333333332%,27.27272727272727%,72.72727272727273%,0.0%,23,Sim
Draw,4.05,3.48,3.95,3.52,47.61904761904761%,47.61904761904761%,4.761904761904762%,47.61904761904761%,52.38095238095239%,0.0%,42,Sim
Lose,3.31,2.85,3.23,2.62,30.76923076923077%,61.53846153846154%,7.6923076923076925%,38.46153846153847%,53.84615384615385%,7.6923076923076925%,26,Sim
Lose,4,3.07,3.79,3.14,14.285714285714285%,78.57142857142857%,7.142857142857142%,28.57142857142857%,64.28571428571429%,7.142857142857142%,28,Sim
Win,5.62,2.12,4.71,1.86,0.0%,75.0%,25.0%,42.857142857142854%,57.14285714285714%,0.0%,15,Sim
Win,4.31,2.88,3.8,2.73,37.5%,62.5%,0.0%,46.666666666666664%,40.0%,13.333333333333334%,31,Sim
Win,3.84,3.16,3.5,3.39,36.84210526315789%,57.89473684210527%,5.263157894736842%,33.33333333333333%,55.55555555555556%,11.11111111111111%,37,Sim
Win,4.29,2.71,4.77,2.85,35.714285714285715%,50.0%,14.285714285714285%,69.23076923076923%,30.76923076923077%,0.0%,27,Sim
Win,4.41,2.94,3.94,3.12,29.411764705882355%,47.05882352941176%,23.52941176470588%,62.5%,37.5%,0.0%,33,Sim
Win,4.2,3.2,3.74,3.47,30.0%,60.0%,10.0%,36.84210526315789%,63.1578947368421%,0.0%,39,Sim
Lose,4.27,2.87,4.4,2.93,26.666666666666668%,66.66666666666666%,6.666666666666667%,53.333333333333336%,40.0%,6.666666666666667%,30,Sim
Lose,4.27,2.8,4.4,2.93,26.666666666666668%,73.33333333333333%,0.0%,26.666666666666668%,66.66666666666666%,6.666666666666667%,30,Sim
Win,4.67,1.67,5.6,1.6,0.0%,66.66666666666666%,33.33333333333333%,20.0%,80.0%,0.0%,11,Sim
Win,4.47,3.12,4.75,3.5,29.411764705882355%,64.70588235294117%,5.88235294117647%,37.5%,56.25%,6.25%,33,Sim
Win,3.62,2.54,2.92,2.58,30.76923076923077%,53.84615384615385%,15.384615384615385%,25.0%,75.0%,0.0%,25,Sim
Win,4.31,2.46,4.42,2.5,38.46153846153847%,53.84615384615385%,7.6923076923076925%,33.33333333333333%,66.66666666666666%,0.0%,25,Sim
Lose,3.79,3.26,4,3.53,36.84210526315789%,63.1578947368421%,0.0%,15.789473684210526%,68.42105263157895%,15.789473684210526%,38,Sim
Win,4.29,2.71,4.08,2.62,28.57142857142857%,64.28571428571429%,7.142857142857142%,23.076923076923077%,76.92307692307693%,0.0%,27,Sim
Win,4.5,3,4.54,2.62,35.714285714285715%,42.857142857142854%,21.428571428571427%,53.84615384615385%,38.46153846153847%,7.6923076923076925%,27,Sim
Win,4.67,2.33,3.73,2.27,33.33333333333333%,58.333333333333336%,8.333333333333332%,36.36363636363637%,63.63636363636363%,0.0%,23,Sim
Win,3.92,2.67,3.73,2.45,8.333333333333332%,75.0%,16.666666666666664%,36.36363636363637%,63.63636363636363%,0.0%,23,Sim
Win,4.8,1.2,4.5,1.75,0.0%,80.0%,20.0%,50.0%,50.0%,0.0%,9,Sim
Lose,2.8,2,3.8,1.4,20.0%,80.0%,0.0%,20.0%,60.0%,20.0%,10,Sim
Lose,4.25,3.25,4.44,3.12,43.75%,50.0%,6.25%,43.75%,50.0%,6.25%,32,Sim
Win,4,2.87,3.86,2.64,20.0%,73.33333333333333%,6.666666666666667%,28.57142857142857%,71.42857142857143%,0.0%,29,Sim
Draw,4.05,3.57,3.95,3.43,47.61904761904761%,52.38095238095239%,0.0%,14.285714285714285%,66.66666666666666%,19.047619047619047%,42,Sim
Win,3.65,3.4,3.89,3.37,40.0%,50.0%,10.0%,21.052631578947366%,63.1578947368421%,15.789473684210526%,39,Sim
Win,3.14,1.57,3.83,1.67,14.285714285714285%,71.42857142857143%,14.285714285714285%,50.0%,50.0%,0.0%,13,Sim
Win,3.85,2.46,4.67,2.75,15.384615384615385%,69.23076923076923%,15.384615384615385%,41.66666666666667%,58.333333333333336%,0.0%,25,Sim
Win,3.74,3.32,4.33,3.33,15.789473684210526%,73.68421052631578%,10.526315789473683%,22.22222222222222%,72.22222222222221%,5.555555555555555%,37,Sim
Lose,4.06,2.94,4.25,2.88,25.0%,75.0%,0.0%,37.5%,43.75%,18.75%,32,Sim
Win,4.76,3.06,3.62,3.25,29.411764705882355%,70.58823529411765%,0.0%,37.5%,62.5%,0.0%,33,Sim
Win,3.83,2.92,4.18,2.45,8.333333333333332%,75.0%,16.666666666666664%,18.181818181818183%,72.72727272727273%,9.090909090909092%,23,Sim
Win,3.31,2.92,3.25,2.83,23.076923076923077%,61.53846153846154%,15.384615384615385%,41.66666666666667%,58.333333333333336%,0.0%,25,Sim
Win,3.43,1.86,3.33,1.83,14.285714285714285%,71.42857142857143%,14.285714285714285%,0.0%,83.33333333333334%,16.666666666666664%,13,Sim
Lose,4.64,2.64,4.91,2.45,9.090909090909092%,90.9090909090909%,0.0%,27.27272727272727%,63.63636363636363%,9.090909090909092%,22,Sim
Win,2.5,2,3.57,2,12.5%,62.5%,25.0%,42.857142857142854%,57.14285714285714%,0.0%,15,Sim
Lose,4.18,3,4,3.06,29.411764705882355%,64.70588235294117%,5.88235294117647%,23.52941176470588%,64.70588235294117%,11.76470588235294%,34,Sim
Win,4.75,2.67,4.36,2.55,25.0%,66.66666666666666%,8.333333333333332%,36.36363636363637%,63.63636363636363%,0.0%,23,Sim
Win,4.19,3.33,3.85,3.55,38.095238095238095%,57.14285714285714%,4.761904761904762%,35.0%,65.0%,0.0%,41,Sim
Win,3.81,2.88,4.27,3,31.25%,56.25%,12.5%,33.33333333333333%,66.66666666666666%,0.0%,31,Sim
Lose,3.25,2.33,4.67,2.33,50.0%,41.66666666666667%,8.333333333333332%,33.33333333333333%,50.0%,16.666666666666664%,24,Sim
Lose,3.42,2.67,3.33,2.67,41.66666666666667%,50.0%,8.333333333333332%,50.0%,25.0%,25.0%,24,Sim
Lose,3.73,2.73,3.36,2.27,18.181818181818183%,81.81818181818183%,0.0%,27.27272727272727%,63.63636363636363%,9.090909090909092%,22,Sim
Win,4.06,2.89,4.18,3.29,27.77777777777778%,61.111111111111114%,11.11111111111111%,41.17647058823529%,58.82352941176471%,0.0%,35,Sim
Win,4.29,3,4,2.94,35.294117647058826%,58.82352941176471%,5.88235294117647%,43.75%,56.25%,0.0%,33,Sim
Lose,3.55,2.27,3.09,2.36,36.36363636363637%,63.63636363636363%,0.0%,27.27272727272727%,63.63636363636363%,9.090909090909092%,22,Sim
Lose,4.56,1.89,4.22,2,33.33333333333333%,66.66666666666666%,0.0%,33.33333333333333%,44.44444444444444%,22.22222222222222%,18,Sim
Win,3.9,3,3.74,3.68,25.0%,65.0%,10.0%,42.10526315789473%,57.89473684210527%,0.0%,39,Sim
Win,3.69,2.94,3.6,3.33,50.0%,43.75%,6.25%,46.666666666666664%,46.666666666666664%,6.666666666666667%,31,Sim
Win,3.89,2,4.25,2.25,33.33333333333333%,55.55555555555556%,11.11111111111111%,25.0%,75.0%,0.0%,17,Sim
Lose,3.5,2.6,2.8,2.3,50.0%,50.0%,0.0%,20.0%,50.0%,30.0%,20,Sim
Win,4.64,2.55,4.2,2.7,9.090909090909092%,81.81818181818183%,9.090909090909092%,20.0%,80.0%,0.0%,21,Sim
Lose,4.19,3.12,4.06,2.75,43.75%,50.0%,6.25%,50.0%,43.75%,6.25%,32,Sim
Win,4.08,2.42,3.82,2.18,8.333333333333332%,66.66666666666666%,25.0%,36.36363636363637%,54.54545454545454%,9.090909090909092%,23,Sim
Lose,3.5,2.83,3.67,2.75,16.666666666666664%,83.33333333333334%,0.0%,8.333333333333332%,83.33333333333334%,8.333333333333332%,24,Sim
Lose,3.78,3.22,3.94,3.06,38.88888888888889%,61.111111111111114%,0.0%,27.77777777777778%,66.66666666666666%,5.555555555555555%,36,Sim
Lose,3.38,3,3.46,3.08,23.076923076923077%,76.92307692307693%,0.0%,23.076923076923077%,69.23076923076923%,7.6923076923076925%,26,Sim
Lose,4.06,3.19,3.94,2.81,18.75%,81.25%,0.0%,25.0%,75.0%,0.0%,32,Sim
Lose,3.69,3.06,3.62,3.06,37.5%,62.5%,0.0%,37.5%,56.25%,6.25%,32,Sim
Lose,3.43,2.36,3.93,3.07,28.57142857142857%,64.28571428571429%,7.142857142857142%,50.0%,21.428571428571427%,28.57142857142857%,28,Sim
Lose,4.1,2.5,4.1,2.2,40.0%,60.0%,0.0%,10.0%,60.0%,30.0%,20,Sim
Win,3.83,2.42,3.73,2.36,25.0%,58.333333333333336%,16.666666666666664%,45.45454545454545%,45.45454545454545%,9.090909090909092%,23,Sim
Lose,3.88,2,3.62,2.12,0.0%,75.0%,25.0%,50.0%,37.5%,12.5%,16,Sim
Lose,4,2.62,3.69,2.69,46.15384615384615%,53.84615384615385%,0.0%,38.46153846153847%,53.84615384615385%,7.6923076923076925%,26,Sim
Win,4,2.7,3.89,2.22,10.0%,80.0%,10.0%,22.22222222222222%,77.77777777777779%,0.0%,19,Sim
Lose,4,2.93,3.73,2.8,46.666666666666664%,53.333333333333336%,0.0%,33.33333333333333%,53.333333333333336%,13.333333333333334%,30,Sim
Lose,3.62,1.88,3.25,2,37.5%,62.5%,0.0%,25.0%,50.0%,25.0%,16,Sim
Win,3.92,2.67,4.36,2.64,58.333333333333336%,25.0%,16.666666666666664%,54.54545454545454%,45.45454545454545%,0.0%,23,Sim
Lose,3.67,2.75,3.58,2.83,33.33333333333333%,50.0%,16.666666666666664%,33.33333333333333%,50.0%,16.666666666666664%,24,Sim
Win,3.79,2.57,4.08,2.85,14.285714285714285%,71.42857142857143%,14.285714285714285%,30.76923076923077%,69.23076923076923%,0.0%,27,Sim
Lose,3.92,2.25,3.17,2.58,33.33333333333333%,58.333333333333336%,8.333333333333332%,8.333333333333332%,83.33333333333334%,8.333333333333332%,24,Sim
Lose,4.15,2.31,4.23,2.92,38.46153846153847%,46.15384615384615%,15.384615384615385%,23.076923076923077%,61.53846153846154%,15.384615384615385%,26,Sim
Win,3.65,2.94,4.12,3,23.52941176470588%,64.70588235294117%,11.76470588235294%,25.0%,75.0%,0.0%,33,Sim
Lose,4.5,1.5,4,2,12.5%,87.5%,0.0%,25.0%,50.0%,25.0%,16,Sim
Lose,3.4,2.2,3.5,2.3,40.0%,50.0%,10.0%,40.0%,40.0%,20.0%,20,Sim
Lose,4.47,3.42,4.16,3.37,36.84210526315789%,63.1578947368421%,0.0%,36.84210526315789%,47.368421052631575%,15.789473684210526%,38,Sim
Win,4.05,3.26,3.28,3.28,31.57894736842105%,57.89473684210527%,10.526315789473683%,27.77777777777778%,66.66666666666666%,5.555555555555555%,37,Sim
Win,3.87,2.67,3.93,2.64,33.33333333333333%,46.666666666666664%,20.0%,57.14285714285714%,42.857142857142854%,0.0%,29,Sim
Win,4.27,2.27,3.7,2.2,9.090909090909092%,81.81818181818183%,9.090909090909092%,40.0%,60.0%,0.0%,21,Sim
Lose,3.63,3.05,4.16,3.47,31.57894736842105%,68.42105263157895%,0.0%,42.10526315789473%,52.63157894736842%,5.263157894736842%,38,Sim
Win,3.82,2.27,4.5,2.2,27.27272727272727%,54.54545454545454%,18.181818181818183%,10.0%,90.0%,0.0%,21,Sim
Win,4.77,2.38,4.92,3,23.076923076923077%,61.53846153846154%,15.384615384615385%,50.0%,50.0%,0.0%,25,Sim
Lose,3.33,2.44,3.78,2.33,11.11111111111111%,88.88888888888889%,0.0%,11.11111111111111%,77.77777777777779%,11.11111111111111%,18,Sim
Win,3.5,2.79,3.46,2.69,21.428571428571427%,64.28571428571429%,14.285714285714285%,23.076923076923077%,76.92307692307693%,0.0%,27,Sim
Lose,5.44,2.22,4.67,2.22,33.33333333333333%,66.66666666666666%,0.0%,33.33333333333333%,55.55555555555556%,11.11111111111111%,18,Sim
Lose,4.3,2.2,3.6,2.5,40.0%,40.0%,20.0%,70.0%,20.0%,10.0%,20,Sim
Win,4.5,1,4.67,1.33,0.0%,75.0%,25.0%,0.0%,100.0%,0.0%,7,Sim
Win,4.33,2.8,4.57,3.07,26.666666666666668%,60.0%,13.333333333333334%,28.57142857142857%,64.28571428571429%,7.142857142857142%,29,Sim
Lose,4.28,3.17,3.72,3.22,27.77777777777778%,72.22222222222221%,0.0%,33.33333333333333%,55.55555555555556%,11.11111111111111%,36,Sim
Win,4.08,2.33,3.27,2.73,16.666666666666664%,66.66666666666666%,16.666666666666664%,27.27272727272727%,72.72727272727273%,0.0%,23,Sim
Win,4.64,3,4,3.15,14.285714285714285%,64.28571428571429%,21.428571428571427%,46.15384615384615%,46.15384615384615%,7.6923076923076925%,27,Sim
Win,3.94,3.29,4.19,2.75,23.52941176470588%,70.58823529411765%,5.88235294117647%,25.0%,75.0%,0.0%,33,Sim
Win,4.2,3.13,3.36,2.64,20.0%,60.0%,20.0%,35.714285714285715%,57.14285714285714%,7.142857142857142%,29,Sim
Lose,3.64,2.36,3.45,2.64,36.36363636363637%,63.63636363636363%,0.0%,36.36363636363637%,45.45454545454545%,18.181818181818183%,22,Sim
Win,3.58,3.05,3.78,3.5,26.31578947368421%,47.368421052631575%,26.31578947368421%,55.55555555555556%,44.44444444444444%,0.0%,37,Sim
Win,3.57,2.64,4.08,3,21.428571428571427%,71.42857142857143%,7.142857142857142%,15.384615384615385%,84.61538461538461%,0.0%,27,Sim
Win,3.89,3.32,3.94,3.22,26.31578947368421%,68.42105263157895%,5.263157894736842%,27.77777777777778%,66.66666666666666%,5.555555555555555%,37,Sim
Win,3.27,2.64,3.4,2.9,18.181818181818183%,72.72727272727273%,9.090909090909092%,40.0%,60.0%,0.0%,21,Sim
Win,4.3,2.2,5,2.44,20.0%,70.0%,10.0%,11.11111111111111%,88.88888888888889%,0.0%,19,Sim
Lose,4.83,2.92,3.92,2.5,8.333333333333332%,91.66666666666666%,0.0%,16.666666666666664%,66.66666666666666%,16.666666666666664%,24,Sim
